,Tahun,Provinsi,Persentase Penduduk Miskin per Provinsi (%),Peringkat Ketahanan Pangan per Provinsi,Indeks Ketahanan Pangan (IKP)per Provinsi,Realisasi Anggaran BPNT (Rp) (Triliun) per provinsi,Realisasi Jumlah Keluarga Penerima Manfaat (KPM) BPNT per provinsi (Juta Jiwa),Kategori_Bantuan
0,2023,Aceh,14.45,22,72.96,1125970000000.0,2780856.0,Tinggi
1,2023,Sumatera Utara,8.15,16,75.97,1807640000000.0,3921537.0,Tinggi
2,2023,Sumatera Barat,5.95,5,83.22,749225000000.0,1648519.0,Sedang
3,2023,Riau,6.68,29,68.68,620175000000.0,1516642.0,Sedang
4,2023,Jambi,7.58,25,72.17,406598000000.0,885167.0,Sedang
5,2023,Sumatera Selatan,11.78,20,73.82,1103550000000.0,2706411.0,Tinggi
6,2023,Bengkulu,14.04,23,72.27,334749000000.0,819660.0,Sedang
7,2023,Lampung,11.11,10,81.56,1658070000000.0,4060111.0,Tinggi
8,2023,Kepulauan Bangka Belitung,4.52,27,71.14,105160000000.0,200624.0,Rendah
9,2023,Kepulauan Riau,5.69,30,65.1,143861000000.0,340268.0,Rendah
10,2023,Dki Jakarta,4.44,3,83.8,470877000000.0,1150459.0,Sedang
11,2023,Jawa Barat,7.62,8,82.19,9224720000000.0,22178797.0,Tinggi
12,2023,Jawa Tengah,10.77,2,84.8,7468470000000.0,18023086.0,Tinggi
13,2023,Di Yogyakarta,11.04,6,83.17,789653000000.0,1943250.0,Tinggi
14,2023,Jawa Timur,10.35,7,82.46,7128410000000.0,17198004.0,Tinggi
15,2023,Banten,6.17,13,78.71,1290190000000.0,2847802.0,Tinggi
16,2023,Bali,4.25,1,87.65,378092000000.0,889385.0,Sedang
17,2023,Nusa Tenggara Barat,13.85,15,76.51,1154710000000.0,2803629.0,Tinggi
18,2023,Nusa Tenggara Timur,19.96,26,71.25,1237490000000.0,2665239.0,Tinggi
19,2023,Kalimantan Barat,6.71,24,72.2,723501000000.0,1678082.0,Sedang
20,2023,Kalimantan Tengah,5.11,28,68.9,217174000000.0,472280.0,Rendah
21,2023,Kalimantan Selatan,4.29,11,81.26,372566000000.0,890269.0,Sedang
22,2023,Kalimantan Timur,6.11,12,79.29,209033000000.0,506308.0,Rendah
23,2023,Kalimantan Utara,6.45,19,74.59,55234600000.0,135374.0,Rendah
24,2023,Sulawesi Utara,7.38,14,77.32,314486000000.0,774603.0,Sedang
25,2023,Sulawesi Tengah,12.41,17,75.83,488540000000.0,1188537.0,Sedang
26,2023,Sulawesi Selatan,8.7,4,83.36,1427780000000.0,3448517.0,Tinggi
27,2023,Sulawesi Tenggara,11.43,18,74.96,438506000000.0,1071020.0,Sedang
28,2023,Gorontalo,15.15,9,81.63,266996000000.0,656150.0,Rendah
29,2023,Sulawesi Barat,11.49,21,73.03,243430000000.0,594010.0,Rendah
30,2023,Maluku,16.42,31,64.37,229135000000.0,523857.0,Rendah
31,2023,Maluku Utara,6.46,32,62.34,124682000000.0,289715.0,Rendah
32,2023,Papua Barat,20.49,33,47.95,97623000000.0,162705.0,Rendah
33,2023,Papua,26.03,34,42.27,153137000000.0,255228.0,Rendah
